Company Ticker,Company Name
AAPL,Apple Inc. 
NVDA,NVIDIA Corporation 
MSFT,Microsoft Corporation 
GOOGL,Google
AMZN,Amazon Inc. 
META,Meta Platforms Inc. Class A 
BRK_A,Berkshire Hathaway Inc.
LLY,Eli Lilly and Company 
AVGO,Broadcom Inc. 
TSLA,Tesla Inc. 
WMT,Walmart Inc. 
JPM,JP Morgan Chase & Co. 
XOM,Exxon Mobil Corporation 
V,Visa Inc.
UNH,United Health Group Incorporated  (DE)
ORCL,Oracle Corporation 
MA,Mastercard Incorporated 
PG,Procter & Gamble Company (The) 
COST,Costco Wholesale Corporation 
HD,Home Depot Inc. (The) 
JNJ,Johnson & Johnson 
ABBV,AbbVie Inc. 
BAC,Bank of America Corporation 
NFLX,Netflix Inc. 
CRM,Salesforce Inc. 
KO,Coca-Cola Company (The) 
CVX,Chevron Corporation 
AMD,Advanced Micro Devices Inc. 
MRK,Merck & Company Inc.  (new)
TMUS,T-Mobile US Inc. 
CCZ,Comcast Holdings ZONES
PEP,PepsiCo Inc. 
LIN,Linde plc Ordinary Shares
WFC,Wells Fargo & Company 
CSCO,Cisco Systems Inc.  (DE)
ADBE,Adobe Inc. 
MCD,McDonald's Corporation 
TMO,Thermo Fisher Scientific Inc 
PM,Philip Morris International Inc 
ABT,Abbott Laboratories 
NOW,ServiceNow Inc. 
QCOM,QUALCOMM Incorporated 
MS,Morgan Stanley 
IBM,International Business Machines Corporation 
TXN,Texas Instruments Incorporated 
AXP,American Express Company 
GE,GE Aerospace 
CAT,Caterpillar Inc. 
ISRG,Intuitive Surgical Inc. 
TBC,AT&T Inc. 5.625% Global Notes due 2067